,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
949,Atheroembolism of lower extremity,44502,atheroembolism of lower extremity,9
950,Hydronephrosis,591,hydronephrosis,1
951,Other specified local infections of skin and subcutaneous tissue,6868,other specified local infections of skin and subcutaneous tissue,3
952,"Intervertebral disc disorder with myelopathy, lumbar region",72273,intervertebral disc disorder with myelopathy lumbar region,1
953,Diverticulosis of colon (without mention of hemorrhage),56210,diverticulosis of colon without mention of hemorrhage,1
954,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85182,other and unspecified cerebral laceration and contusion without mention of open intracranial wound with brief less than one hour loss of consciousness,0
955,Other postprocedural status,V4589,other postprocedural status,1
956,Secondary malignant neoplasm of other digestive organs and spleen,1978,secondary malignant neoplasm of other digestive organs and spleen,2
957,"Unspecified schizophrenia, chronic with acute exacerbation",29594,unspecified schizophrenia chronic with acute exacerbation,5
958,Other specified diseases of the jaws,52689,other specified diseases of the jaws,3
959,"Fracture of calcaneus, open",8251,fracture of calcaneus open,10
960,Poisoning by other specified drugs and medicinal substances,9778,poisoning by other specified drugs and medicinal substances,3
961,"Opioid abuse, unspecified",30550,opioid abuse unspecified,7
962,Unspecified protein-calorie malnutrition,2639,unspecified proteincalorie malnutrition,7
963,Other and unspecified hyperlipidemia,2724,other and unspecified hyperlipidemia,7
964,Cauda equina syndrome with neurogenic bladder,34461,cauda equina syndrome with neurogenic bladder,1
965,Other specified hypotension,4588,other specified hypotension,3
966,"Sensory hearing loss, bilateral",38911,sensory hearing loss bilateral,1
967,Secondary malignant neoplasm of retroperitoneum and peritoneum,1976,secondary malignant neoplasm of retroperitoneum and peritoneum,2
968,"Osteoarthrosis, localized, primary, ankle and foot",71517,osteoarthrosis localized primary ankle and foot,1
969,Other specified disease of white blood cells,2888,other specified disease of white blood cells,3
970,"Panniculitis, other site",72939,panniculitis other site,1
971,Generalized anxiety disorder,30002,generalized anxiety disorder,1
972,Poisoning by other and unspecified agents primarily affecting the cardiovascular system,9729,poisoning by other and unspecified agents primarily affecting the cardiovascular system,7
973,Other specified causes of urethral stricture,5988,other specified causes of urethral stricture,3
974,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",40390,hypertensive chronic kidney disease unspecified with chronic kidney disease stage i through stage iv or unspecified,3
975,Herpes zoster without mention of complication,0539,herpes zoster without mention of complication,1
976,Ulcer of calf,70712,ulcer of calf,1
977,Coma,78001,coma,1
978,Closed supracondylar fracture of femur,82123,closed supracondylar fracture of femur,10
979,Closed supracondylar fracture of humerus,81241,closed supracondylar fracture of humerus,10
980,Poisoning by insulins and antidiabetic agents,9623,poisoning by insulins and antidiabetic agents,1
981,"Contusion of multiple sites, not elsewhere classified",9248,contusion of multiple sites not elsewhere classified,1
982,Volvulus,5602,volvulus,1
983,Other tracheostomy complications,51909,other tracheostomy complications,8
984,Communicating hydrocephalus,3313,communicating hydrocephalus,1
985,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",85300,other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound unspecified state of consciousness,0
986,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side",43822,late effects of cerebrovascular disease hemiplegia affecting nondominant side,3
987,Aneurysm of subclavian artery,44282,aneurysm of subclavian artery,1
988,"Bipolar I disorder, most recent episode (or current) manic, unspecified",29640,bipolar i disorder most recent episode or current manic unspecified,7
989,"Ventral, unspecified, hernia with obstruction",55220,ventral unspecified hernia with obstruction,4
990,"Cyst of bone (localized), unspecified",73320,cyst of bone localized unspecified,7
991,"Phlebitis and thrombophlebitis of lower extremities, unspecified",4512,phlebitis and thrombophlebitis of lower extremities unspecified,9
992,"Contracture of joint, upper arm",71842,contracture of joint upper arm,1
993,"Meningitis, unspecified",3229,meningitis unspecified,7
994,Malignant neoplasm of choroid,1906,malignant neoplasm of choroid,2
995,Arterial embolism and thrombosis of upper extremity,44421,arterial embolism and thrombosis of upper extremity,1
996,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",25022,diabetes with hyperosmolarity type ii or unspecified type uncontrolled,6
997,Bronchiectasis with acute exacerbation,4941,bronchiectasis with acute exacerbation,5
998,Oliguria and anuria,7885,oliguria and anuria,1
999,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",53240,chronic or unspecified duodenal ulcer with hemorrhage without mention of obstruction,4
1000,"Aftercare following surgery of the circulatory system, NEC",V5873,aftercare following surgery of the circulatory system nec,1
1001,Other and unspecified infection due to central venous catheter,99931,other and unspecified infection due to central venous catheter,7
1002,Other symptoms involving abdomen and pelvis,7899,other symptoms involving abdomen and pelvis,1
1003,Malignant neoplasm of ascending colon,1536,malignant neoplasm of ascending colon,2
1004,Ventricular fibrillation,42741,ventricular fibrillation,1
1005,Diverticulitis of small intestine (without mention of hemorrhage),56201,diverticulitis of small intestine without mention of hemorrhage,1
1006,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",85181,other and unspecified cerebral laceration and contusion without mention of open intracranial wound with no loss of consciousness,0
1007,"Displacement of intervertebral disc, site unspecified, without myelopathy",7222,displacement of intervertebral disc site unspecified without myelopathy,7
1008,"Sedative, hypnotic or anxiolytic dependence, continuous",30411,sedative hypnotic or anxiolytic dependence continuous,1
1009,Acquired hypertrophic pyloric stenosis,5370,acquired hypertrophic pyloric stenosis,1
1010,Aseptic necrosis of medial femoral condyle,73343,aseptic necrosis of medial femoral condyle,1
1011,Nontoxic uninodular goiter,2410,nontoxic uninodular goiter,1
1012,Barrett's esophagus,53085,barretts esophagus,1
1013,Secondary malignant neoplasm of lung,1970,secondary malignant neoplasm of lung,2
1014,Malignant neoplasm of maxillary sinus,1602,malignant neoplasm of maxillary sinus,2
1015,Other aftercare involving internal fixation device,V5409,other aftercare involving internal fixation device,1
1016,Aftercare for healing traumatic fracture of hip,V5413,aftercare for healing traumatic fracture of hip,10
1017,"Venous (peripheral) insufficiency, unspecified",45981,venous peripheral insufficiency unspecified,7
1018,"Unspecified osteomyelitis, site unspecified",73020,unspecified osteomyelitis site unspecified,7
1019,"Unspecified osteomyelitis, lower leg",73026,unspecified osteomyelitis lower leg,9
1020,"Diverticulum of esophagus, acquired",5306,diverticulum of esophagus acquired,1
1021,"Paralysis of vocal cords or larynx, unspecified",47830,paralysis of vocal cords or larynx unspecified,7
1022,"Migraine without aura, without mention of intractable migraine without mention of status migrainosus",34610,migraine without aura without mention of intractable migraine without mention of status migrainosus,1
1023,Memory loss,78093,memory loss,1
1024,Mitral valve insufficiency and aortic valve stenosis,3962,mitral valve insufficiency and aortic valve stenosis,1
1025,Iatrogenic cerebrovascular infarction or hemorrhage,99702,iatrogenic cerebrovascular infarction or hemorrhage,1
1026,Herpetic gingivostomatitis,0542,herpetic gingivostomatitis,1
1027,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",25072,diabetes with peripheral circulatory disorders type ii or unspecified type uncontrolled,6
1028,Unspecified hereditary and idiopathic peripheral neuropathy,3569,unspecified hereditary and idiopathic peripheral neuropathy,7
1029,"Postlaminectomy syndrome, lumbar region",72283,postlaminectomy syndrome lumbar region,1
1030,Intestinovesical fistula,5961,intestinovesical fistula,1
1031,Malignant neoplasm of tonsil,1460,malignant neoplasm of tonsil,2
1032,Aftercare following joint replacement,V5481,aftercare following joint replacement,1
1033,"Pain in joint, forearm",71943,pain in joint forearm,1
1034,Infection of gastrostomy,53641,infection of gastrostomy,1
1035,"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",85226,subdural hemorrhage following injury without mention of open intracranial wound with loss of consciousness of unspecified duration,0
1036,Poisoning by other specified psychotropic agents,9698,poisoning by other specified psychotropic agents,3
1037,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,4510,phlebitis and thrombophlebitis of superficial vessels of lower extremities,9
1038,Knee joint replacement,V4365,knee joint replacement,1
1039,"Malignant neoplasm of bone and articular cartilage, site unspecified",1709,malignant neoplasm of bone and articular cartilage site unspecified,2
1040,Nonspecific abnormal toxicological findings,7960,nonspecific abnormal toxicological findings,1
1041,Acute upper respiratory infections of unspecified site,4659,acute upper respiratory infections of unspecified site,5
1042,Periapical abscess without sinus,5225,periapical abscess without sinus,1
1043,Other specified diseases of pericardium,4238,other specified diseases of pericardium,3
1044,Pathologic fracture of other specified site,73319,pathologic fracture of other specified site,10
1045,Closed fracture of lumbar spine with spinal cord injury,8064,closed fracture of lumbar spine with spinal cord injury,10
1046,Spasm of muscle,72885,spasm of muscle,1
1047,Cervical spondylosis without myelopathy,7210,cervical spondylosis without myelopathy,1
1048,"Closed fracture of multiple ribs, unspecified",80709,closed fracture of multiple ribs unspecified,10
1049,Influenza with pneumonia,4870,influenza with pneumonia,1
1050,Other staphylococcal septicemia,03819,other staphylococcal septicemia,1
1051,Cholesteatoma of middle ear and mastoid,38533,cholesteatoma of middle ear and mastoid,1
1052,Acute kidney failure with lesion of tubular necrosis,5845,acute kidney failure with lesion of tubular necrosis,5
1053,Poisoning by psychodysleptics (hallucinogens),9696,poisoning by psychodysleptics hallucinogens,1
1054,Broken prosthetic joint implant,99643,broken prosthetic joint implant,1
1055,Internal hemorrhoids with other complication,4552,internal hemorrhoids with other complication,1
1056,Benign neoplasm of breast,217,benign neoplasm of breast,2
1057,Drug-induced delirium,29281,druginduced delirium,1
1058,"Concussion, with loss of consciousness of 30 minutes or less",85011,concussion with loss of consciousness of 30 minutes or less,1
1059,"Closed fracture of cervical vertebra, unspecified level",80500,closed fracture of cervical vertebra unspecified level,10
1060,"Vaginitis and vulvovaginitis, unspecified",61610,vaginitis and vulvovaginitis unspecified,7
1061,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",85306,other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound with loss of consciousness of unspecified duration,0
1062,Atherosclerosis of autologous vein bypass graft of the extremities,44031,atherosclerosis of autologous vein bypass graft of the extremities,1
1063,"Open wound of abdominal wall, anterior, without mention of complication",8792,open wound of abdominal wall anterior without mention of complication,0
1064,Unspecified vascular insufficiency of intestine,5579,unspecified vascular insufficiency of intestine,7
1065,Unspecified acquired hypothyroidism,2449,unspecified acquired hypothyroidism,7
1066,Malignant neoplasm of retromolar area,1456,malignant neoplasm of retromolar area,2
1067,Other unknown and unspecified cause of morbidity and mortality,7999,other unknown and unspecified cause of morbidity and mortality,7
1068,"Quadriplegia, unspecified",34400,quadriplegia unspecified,7
1069,Other frontotemporal dementia,33119,other frontotemporal dementia,1
1070,"Urticaria, unspecified",7089,urticaria unspecified,7
1071,Other closed fracture of upper end of humerus,81209,other closed fracture of upper end of humerus,10
1072,Malignant neoplasm of connective and other soft tissue of thorax,1714,malignant neoplasm of connective and other soft tissue of thorax,2
1073,"Closed fracture of rib(s), unspecified",80700,closed fracture of ribs unspecified,10
1074,Tibialis tendinitis,72672,tibialis tendinitis,1
1075,Unspecified disorder of urethra and urinary tract,5999,unspecified disorder of urethra and urinary tract,7
1076,"Esophagitis, unspecified",53010,esophagitis unspecified,7
1077,Secondary and recurrent hemorrhage,9582,secondary and recurrent hemorrhage,1
1078,"Paranoid state, simple",2970,paranoid state simple,1
1079,"Unspecified osteomyelitis, pelvic region and thigh",73025,unspecified osteomyelitis pelvic region and thigh,7
1080,Infected postoperative seroma,99851,infected postoperative seroma,1
1081,"Schizophrenic disorders, residual type, chronic with acute exacerbation",29564,schizophrenic disorders residual type chronic with acute exacerbation,5
1082,Pulmonary eosinophilia,5183,pulmonary eosinophilia,1
1083,Neoplasm of unspecified nature of brain,2396,neoplasm of unspecified nature of brain,2
1084,Disorders of bilirubin excretion,2774,disorders of bilirubin excretion,1
1085,Apnea,78603,apnea,1
1086,Closed fracture of unspecified part of ulna (alone),81382,closed fracture of unspecified part of ulna alone,10
1087,Malignant neoplasm of body of pancreas,1571,malignant neoplasm of body of pancreas,2
1088,Emphysematous bleb,4920,emphysematous bleb,1
1089,Candidiasis of other urogenital sites,1122,candidiasis of other urogenital sites,1
1090,"Malignant neoplasm of uterus, part unspecified",179,malignant neoplasm of uterus part unspecified,2
1091,"Ventral, unspecified, hernia without mention of obstruction or gangrene",55320,ventral unspecified hernia without mention of obstruction or gangrene,4
1092,"Dissection of aorta, abdominal",44102,dissection of aorta abdominal,1
1093,Seroma complicating a procedure,99813,seroma complicating a procedure,1
1094,Other neutropenia,28809,other neutropenia,1
1095,"Malignant melanoma of skin of lower limb, including hip",1727,malignant melanoma of skin of lower limb including hip,9
1096,Acute pharyngitis,462,acute pharyngitis,5
1097,Stevens-Johnson syndrome,69513,stevensjohnson syndrome,1
1098,Fistula of stomach or duodenum,5374,fistula of stomach or duodenum,1
1099,Intrinsic (urethral) sphincter deficiency [ISD],59982,intrinsic urethral sphincter deficiency isd,1
1100,Hemangioma of intra-abdominal structures,22804,hemangioma of intraabdominal structures,1
1101,"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85222,subdural hemorrhage following injury without mention of open intracranial wound with brief less than one hour loss of consciousness,0
1102,Polymyositis,7104,polymyositis,1
1103,Atresia and stenosis of aorta,74722,atresia and stenosis of aorta,1
1104,Generalized hyperhidrosis,7808,generalized hyperhidrosis,1
1105,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction,43330,occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction,1
1106,Posttraumatic stress disorder,30981,posttraumatic stress disorder,1
1107,"Benign neoplasm of pancreas, except islets of Langerhans",2116,benign neoplasm of pancreas except islets of langerhans,2
1108,Prepatellar bursitis,72665,prepatellar bursitis,1
1109,Other specified disorders of intestine,56989,other specified disorders of intestine,3
1110,Closed fracture of upper end of tibia alone,82300,closed fracture of upper end of tibia alone,10
1111,Reaction to spinal or lumbar puncture,3490,reaction to spinal or lumbar puncture,1
1112,Malunion of fracture,73381,malunion of fracture,10
1113,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",29660,bipolar i disorder most recent episode or current mixed unspecified,7
1114,Other and unspecified open wound of head without mention of complication,8738,other and unspecified open wound of head without mention of complication,0
1115,"Lumbosacral root lesions, not elsewhere classified",3534,lumbosacral root lesions not elsewhere classified,1
1116,Vascular disorders of kidney,59381,vascular disorders of kidney,3
1117,"Viral pneumonia, unspecified",4809,viral pneumonia unspecified,7
1118,Other gastrostomy complications,53649,other gastrostomy complications,8
1119,"Arthropathy, unspecified, pelvic region and thigh",71695,arthropathy unspecified pelvic region and thigh,7
1120,Peri-prosthetic fracture around prosthetic joint,99644,periprosthetic fracture around prosthetic joint,1
1121,"Scoliosis [and kyphoscoliosis], idiopathic",73730,scoliosis and kyphoscoliosis idiopathic,1
1122,"Leukocytopenia, unspecified",28850,leukocytopenia unspecified,7
1123,"Anxiety state, unspecified",30000,anxiety state unspecified,7
1124,Malignant neoplasm of intrahepatic bile ducts,1551,malignant neoplasm of intrahepatic bile ducts,2
1125,"Disorganized type schizophrenia, unspecified",29510,disorganized type schizophrenia unspecified,6
1126,Contusion of unspecified site,9249,contusion of unspecified site,7
1127,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",25062,diabetes with neurological manifestations type ii or unspecified type uncontrolled,6
1128,Malignant neoplasm of renal pelvis,1891,malignant neoplasm of renal pelvis,2
1129,Malignant neoplasm of trigone of urinary bladder,1880,malignant neoplasm of trigone of urinary bladder,2
1130,"Closed fracture of base of skull without mention of intra cranial injury, with no loss of consciousness",80101,closed fracture of base of skull without mention of intra cranial injury with no loss of consciousness,0
1131,"Unspecified mechanical complication of internal orthopedic device, implant, and graft",99640,unspecified mechanical complication of internal orthopedic device implant and graft,8
1132,Contusion of shoulder region,92300,contusion of shoulder region,1
1133,Closed fracture of five ribs,80705,closed fracture of five ribs,10
1134,Enthesopathy of hip region,7265,enthesopathy of hip region,1
1135,Enlargement of lymph nodes,7856,enlargement of lymph nodes,1
1136,Malignant neoplasm of other parts of brain,1918,malignant neoplasm of other parts of brain,2
1137,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",9693,poisoning by other antipsychotics neuroleptics and major tranquilizers,1
1138,Malignant neoplasm of other specified part of esophagus,1508,malignant neoplasm of other specified part of esophagus,2
1139,Anemia in chronic kidney disease,28521,anemia in chronic kidney disease,3
1140,Mood disorder in conditions classified elsewhere,29383,mood disorder in conditions classified elsewhere,1
1141,Complete rupture of rotator cuff,72761,complete rupture of rotator cuff,1
1142,Other respiratory complications,99739,other respiratory complications,8
1143,"Paroxysmal tachycardia, unspecified",4272,paroxysmal tachycardia unspecified,7
1144,Essential and other specified forms of tremor,3331,essential and other specified forms of tremor,3
1145,Infection of colostomy or enterostomy,56961,infection of colostomy or enterostomy,1
1146,"Other malignant lymphomas, lymph nodes of multiple sites",20288,other malignant lymphomas lymph nodes of multiple sites,1
1147,Secondary malignant neoplasm of pleura,1972,secondary malignant neoplasm of pleura,2
1148,Other disorders of calcium metabolism,27549,other disorders of calcium metabolism,1
1149,"Burn of unspecified site, unspecified degree",9490,burn of unspecified site unspecified degree,7
1150,Other and unspecified coagulation defects,2869,other and unspecified coagulation defects,7
1151,"Other complications due to other internal orthopedic device, implant, and graft",99678,other complications due to other internal orthopedic device implant and graft,8
1152,Hypothermia not associated with low environmental temperature,78065,hypothermia not associated with low environmental temperature,1
1153,Adjustment disorder with mixed disturbance of emotions and conduct,3094,adjustment disorder with mixed disturbance of emotions and conduct,1
1154,"Impulse control disorder, unspecified",31230,impulse control disorder unspecified,7
1155,Closed fracture of ischium,80842,closed fracture of ischium,10
1156,Coronary atherosclerosis of artery bypass graft,41404,coronary atherosclerosis of artery bypass graft,1
1157,"Other specified forms of effusion, except tuberculous",51189,other specified forms of effusion except tuberculous,3
1158,"Schizophrenic disorders, residual type, chronic",29562,schizophrenic disorders residual type chronic,3
1159,Closed dislocation of ankle,8370,closed dislocation of ankle,10
1160,Malignant neoplasm of body of stomach,1514,malignant neoplasm of body of stomach,2
1161,"Certain sequelae of myocardial infarction, not elsewhere classified, other",42979,certain sequelae of myocardial infarction not elsewhere classified other,1
1162,Other late effects of cerebrovascular disease,43889,other late effects of cerebrovascular disease,3
1163,Chronic hepatitis C with hepatic coma,07044,chronic hepatitis c with hepatic coma,3
1164,Other degenerative diseases of the basal ganglia,3330,other degenerative diseases of the basal ganglia,1
1165,Glycogenosis,2710,glycogenosis,1
1166,Other specified disorders of liver,5738,other specified disorders of liver,3
1167,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction,43390,occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction,1
1168,Closed fracture of sacrum and coccyx without mention of spinal cord injury,8056,closed fracture of sacrum and coccyx without mention of spinal cord injury,10
1169,Abscess of intestine,5695,abscess of intestine,1
1170,Mechanical complication of gastrostomy,53642,mechanical complication of gastrostomy,1
1171,"Acute duodenal ulcer with perforation, without mention of obstruction",53210,acute duodenal ulcer with perforation without mention of obstruction,4
1172,"Osteoarthrosis, generalized, multiple sites",71509,osteoarthrosis generalized multiple sites,1
1173,Acute and subacute bacterial endocarditis,4210,acute and subacute bacterial endocarditis,5
1174,Acquired equinovarus deformity,73671,acquired equinovarus deformity,1
1175,Pathologic fracture of humerus,73311,pathologic fracture of humerus,10
1176,Abscess of lung,5130,abscess of lung,1
1177,"Acute myocardial infarction of other specified sites, episode of care unspecified",41080,acute myocardial infarction of other specified sites episode of care unspecified,5
1178,Acute pain due to trauma,33811,acute pain due to trauma,5
1179,Other encephalopathy,34839,other encephalopathy,1
1180,Attention to gastrostomy,V551,attention to gastrostomy,1
1181,"Pre-operative examination, unspecified",V7284,preoperative examination unspecified,7
1182,"Chronic osteomyelitis, site unspecified",73010,chronic osteomyelitis site unspecified,7
1183,"Cannabis dependence, unspecified",30430,cannabis dependence unspecified,7
1184,"Other and unspecified complications of medical care, not elsewhere classified",9999,other and unspecified complications of medical care not elsewhere classified,8
1185,Scar conditions and fibrosis of skin,7092,scar conditions and fibrosis of skin,1
1186,Umbilical hernia with obstruction,5521,umbilical hernia with obstruction,4
1187,Varicose veins of lower extremities with ulcer,4540,varicose veins of lower extremities with ulcer,9
1188,Unspecified disorder of esophagus,5309,unspecified disorder of esophagus,7
1189,Other atherosclerosis of native arteries of the extremities,44029,other atherosclerosis of native arteries of the extremities,1
1190,Pneumonia due to Legionnaires' disease,48284,pneumonia due to legionnaires disease,3
1191,Aortic aneurysm of unspecified site without mention of rupture,4419,aortic aneurysm of unspecified site without mention of rupture,7
1192,Deviated nasal septum,470,deviated nasal septum,1
1193,Hallucinations,7801,hallucinations,1
1194,Other lymphedema,4571,other lymphedema,1
1195,Stricture or kinking of ureter,5933,stricture or kinking of ureter,1
1196,Hiccough,7868,hiccough,1
1197,"Concussion, unspecified",8509,concussion unspecified,7
1198,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",53390,peptic ulcer of unspecified site unspecified as acute or chronic without mention of hemorrhage or perforation without mention of obstruction,4
1199,"Excessive fetal growth, affecting management of mother, antepartum condition or complication",65663,excessive fetal growth affecting management of mother antepartum condition or complication,1
1200,Aftercare for healing traumatic fracture of lower leg,V5416,aftercare for healing traumatic fracture of lower leg,9
1201,"Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction",53340,chronic or unspecified peptic ulcer of unspecified site with hemorrhage without mention of obstruction,4
1202,Fitting and adjustment of cardiac pacemaker,V5331,fitting and adjustment of cardiac pacemaker,1
1203,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified",71530,osteoarthrosis localized not specified whether primary or secondary site unspecified,3
1204,Aftercare for healing traumatic fracture of other bone,V5419,aftercare for healing traumatic fracture of other bone,10
1205,Acute epiglottitis with obstruction,46431,acute epiglottitis with obstruction,5
1206,"Calculus of gallbladder with other cholecystitis, with obstruction",57411,calculus of gallbladder with other cholecystitis with obstruction,4
1207,"Other, mixed, or unspecified drug abuse, unspecified",30590,other mixed or unspecified drug abuse unspecified,7
1208,"Dependence on respirator, status",V4611,dependence on respirator status,1
1209,"Aseptic necrosis of bone, site unspecified",73340,aseptic necrosis of bone site unspecified,7
1210,Foreign body in pharynx,9330,foreign body in pharynx,1
1211,"Major depressive affective disorder, recurrent episode, moderate",29632,major depressive affective disorder recurrent episode moderate,1
1212,Other bilateral bundle branch block,42653,other bilateral bundle branch block,1
1213,"Combinations of opioid type drug with any other drug dependence, unspecified",30470,combinations of opioid type drug with any other drug dependence unspecified,6
1214,Anorexia,7830,anorexia,1
1215,Anemia in neoplastic disease,28522,anemia in neoplastic disease,3
1216,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess",60499,other orchitis epididymitis and epididymoorchitis without mention of abscess,1
1217,Contusion of lung without mention of open wound into thorax,86121,contusion of lung without mention of open wound into thorax,0
1218,"Heat exhaustion, unspecified",9925,heat exhaustion unspecified,7
1219,Cellulitis and abscess of other specified sites,6828,cellulitis and abscess of other specified sites,3
1220,Systemic lupus erythematosus,7100,systemic lupus erythematosus,1
1221,Other sprains and strains of ankle,84509,other sprains and strains of ankle,1
1222,Uterine prolapse without mention of vaginal wall prolapse,6181,uterine prolapse without mention of vaginal wall prolapse,1
1223,Malignant neoplasm of urethra,1893,malignant neoplasm of urethra,2
1224,"Combinations of drug dependence excluding opioid type drug, unspecified",30480,combinations of drug dependence excluding opioid type drug unspecified,6
1225,"Malignant neoplasm of tongue, unspecified",1419,malignant neoplasm of tongue unspecified,2
1226,Other noninfectious disorders of lymphatic channels,4578,other noninfectious disorders of lymphatic channels,1
1227,"Peripheral vertigo, unspecified",38610,peripheral vertigo unspecified,7
1228,Pneumonia due to Hemophilus influenzae [H. influenzae],4822,pneumonia due to hemophilus influenzae h influenzae,1
1229,Other specified mycobacterial diseases,0318,other specified mycobacterial diseases,3
1230,"Pneumonia due to Streptococcus, unspecified",48230,pneumonia due to streptococcus unspecified,7
1231,Unspecified chronic bronchitis,4919,unspecified chronic bronchitis,3
1232,Malignant neoplasm of ampulla of vater,1562,malignant neoplasm of ampulla of vater,2
1233,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",20190,hodgkins disease unspecified type unspecified site extranodal and solid organ sites,7
1234,Secondary malignant neoplasm of kidney,1980,secondary malignant neoplasm of kidney,2
1235,Sprains and strains of unspecified site of hip and thigh,8439,sprains and strains of unspecified site of hip and thigh,7
1236,Closed fracture of upper end of fibula with tibia,82302,closed fracture of upper end of fibula with tibia,10
1237,Benign neoplasm of thymus,2126,benign neoplasm of thymus,2
1238,"Vascular dementia, uncomplicated",29040,vascular dementia uncomplicated,1
1239,"Ménière's disease, unspecified",38600,ménières disease unspecified,3
1240,Neoplasm of uncertain behavior of paraganglia,2373,neoplasm of uncertain behavior of paraganglia,2
1241,Anemia of other chronic disease,28529,anemia of other chronic disease,3
1242,Unspecified disorder of skin and subcutaneous tissue,7099,unspecified disorder of skin and subcutaneous tissue,7
1243,Malignant neoplasm of other specified sites of pancreas,1578,malignant neoplasm of other specified sites of pancreas,2
1244,"Cocaine abuse, unspecified",30560,cocaine abuse unspecified,7
1245,Closed fracture of sternum,8072,closed fracture of sternum,10
1246,Unspecified nonpsychotic mental disorder following organic brain damage,3109,unspecified nonpsychotic mental disorder following organic brain damage,7
1247,Carbuncle and furuncle of trunk,6802,carbuncle and furuncle of trunk,1
1248,"Schizoaffective disorder, subchronic with acute exacerbation",29573,schizoaffective disorder subchronic with acute exacerbation,5
1249,"Poisoning by aromatic analgesics, not elsewhere classified",9654,poisoning by aromatic analgesics not elsewhere classified,1
1250,Listeriosis,0270,listeriosis,1
1251,Aphasia,7843,aphasia,1
1252,"Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",85106,cortex cerebral contusion without mention of open intracranial wound with loss of consciousness of unspecified duration,0
1253,Closed fracture of midcervical section of neck of femur,82002,closed fracture of midcervical section of neck of femur,10
1254,"Malignant neoplasm of brain, unspecified",1919,malignant neoplasm of brain unspecified,2
1255,Acute cystitis,5950,acute cystitis,5
1256,Other and unspecified postsurgical nonabsorption,5793,other and unspecified postsurgical nonabsorption,7
1257,"Malignant neoplasm of hypopharynx, unspecified site",1489,malignant neoplasm of hypopharynx unspecified site,2
1258,"Hernia of unspecified site, with obstruction",5529,hernia of unspecified site with obstruction,4
1259,Stress fracture of other bone,73395,stress fracture of other bone,10
1260,Chronic or unspecified parametritis and pelvic cellulitis,6144,chronic or unspecified parametritis and pelvic cellulitis,3
1261,Toxic encephalopathy,34982,toxic encephalopathy,1
1262,Unspecified disorder of thyroid,2469,unspecified disorder of thyroid,7
1263,Unspecified disorder of gallbladder,5759,unspecified disorder of gallbladder,7
1264,Pneumocystosis,1363,pneumocystosis,1
1265,"Alcohol abuse, continuous",30501,alcohol abuse continuous,1
1266,"Unspecified leukemia, without mention of having achieved remission",20890,unspecified leukemia without mention of having achieved remission,7
1267,Cachexia,7994,cachexia,1
1268,Localized adiposity,2781,localized adiposity,1
1269,Concussion with loss of consciousness of unspecified duration,8505,concussion with loss of consciousness of unspecified duration,0
1270,Mastodynia,61171,mastodynia,1
1271,Other kyphosis (acquired),73719,other kyphosis acquired,1
1272,"Other lymphoid leukemia, without mention of having achieved remission",20480,other lymphoid leukemia without mention of having achieved remission,1
1273,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified",40300,hypertensive chronic kidney disease malignant with chronic kidney disease stage i through stage iv or unspecified,3
1274,"Acute myocardial infarction of other anterior wall, episode of care unspecified",41010,acute myocardial infarction of other anterior wall episode of care unspecified,5
1275,Lipoma of other specified sites,2148,lipoma of other specified sites,3
1276,Interstitial emphysema,5181,interstitial emphysema,1
